timestamp,endpoint_type,label,total,real_reqs,fake_reqs,success,hits,misses,not_found,errors,wall_sec,throughput,avg_ms,p50_ms,p90_ms,p95_ms,p99_ms,min_ms,max_ms,stdev_ms,hit_ratio,miss_ratio
2026-04-05 13:09:11,no_cache,NO-CACHE  /movies/no-caching/{id},10000,9500,500,9499,,,500,1,412.183,24.26,411.63,270.04,697.01,1130.77,3243.07,83.14,30032.26,712.02,,
2026-04-05 13:09:11,with_cache,WITH-CACHE /movies/{id},10000,9500,500,9500,9500,0,500,0,22.911,436.47,21.38,6.83,15.57,196.48,321.03,2.06,707.23,62.08,1.0,0.0
